z,zrel,A,log10A
1070.208,0.5786582677165354,6.7512,0.829380973876807
1097.8,0.5677952755905512,5.6784,0.7542259820035175
1097.892,0.5677590551181102,5.201599999999999,0.7161369521520514
1097.983,0.5677232283464567,6.1444,0.7884794804834379
1098.075,0.5676870078740157,6.812,0.8332746392905634
1098.167,0.5676507874015748,6.5016,0.8130202467447742
1098.258,0.5676149606299212,5.2712,0.7219094945394801
1103.392,0.5655937007874016,6.7968,0.8323044907293374
1103.483,0.5655578740157481,4.4408,0.6474612143238042
1103.575,0.5655216535433071,7.804,0.8923172607224805
1103.667,0.5654854330708662,5.8348,0.7660259742828459
1103.758,0.5654496062992126,5.1376,0.7107602882224273
1114.85,0.5610826771653543,6.3664,0.803893921802313
1114.942,0.5610464566929134,5.549599999999999,0.7442616814914756
1115.033,0.5610106299212598,6.1095999999999995,0.7860127775945422
1115.125,0.5609744094488189,6.799999999999999,0.8325089127062363
1115.217,0.5609381889763779,5.2428,0.7195632907571933
1115.308,0.5609023622047244,7.7444,0.8889877762872178
1124.75,0.5571850393700788,5.9036,0.7711169240728144
1124.842,0.5571488188976377,5.459999999999999,0.7371926427047372
1124.933,0.5571129921259843,6.193599999999999,0.7919431539748798
1125.025,0.5570767716535432,5.610799999999999,0.7490247883177098
1125.117,0.5570405511811023,6.2428,0.7953794217024392
1125.208,0.5570047244094487,5.1624,0.7128516520990685
1136.3,0.5526377952755905,5.6356,0.750940160456192
1136.392,0.5526015748031496,5.121199999999999,0.709371736818636
1136.483,0.552565748031496,5.928,0.7729081949712717
1136.575,0.5525295275590552,6.2284,0.7943764960306996
1136.667,0.5524933070866143,8.1456,0.910923079693263
1136.758,0.5524574803149607,8.6564,0.9373373163598917
1136.85,0.5524212598425198,7.066,0.8491736330988267
1136.942,0.5523850393700787,5.7308,0.7582152522176495
1137.033,0.5523492125984253,7.2568,0.8607451539354348
1137.125,0.5523129921259842,8.4548,0.9271033387316666
1137.217,0.5522767716535433,7.316799999999999,0.8643211840366065
1137.308,0.5522409448818897,5.723999999999999,0.7576996250877387
1146.2,0.548740157480315,6.5872,0.8187008496534108
1146.292,0.5487039370078741,5.168799999999999,0.7133897280321124
1146.383,0.5486681102362205,4.5476,0.6577822578115384
1146.475,0.5486318897637796,6.5112,0.8136610354732021
1146.567,0.5485956692913385,6.508399999999999,0.8134742364059379
1146.658,0.5485598425196851,7.526,0.8765642139838455
1158.025,0.5440846456692914,6.6144,0.8204904549471942
1158.208,0.5440125984251969,7.08,0.850033257689769
1185.25,0.5333661417322835,4.8752,0.6879924368785985
1185.617,0.5332216535433071,7.920799999999999,0.8987690475035657
1211.742,0.522936220472441,8.239599999999998,0.9159061289289908
1212.017,0.5228279527559054,7.3355999999999995,0.865435641837405
1212.108,0.5227921259842521,4.9512,0.6947104696847576
1218.433,0.520301968503937,5.1528,0.7120432861478547
1218.525,0.5202657480314961,7.4096,0.8697947636498182
1218.617,0.5202295275590552,6.5308,0.8149663840782647
1224.392,0.517955905511811,6.9908,0.844526877563303
1224.483,0.5179200787401574,4.4252,0.645932903719387
1224.575,0.5178838582677165,6.3648,0.8037847614443415
